epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7413,1.15958,6.37779,1.92047,0.87638,0.84518,0.9322,0.90329,0.76091,6.96548,1.65446,1.764e-05,1.764e-05,1.764e-05
2,33.7909,1.05561,4.74518,1.81691,0.85375,0.87416,0.94072,0.9147,0.75616,6.92236,1.65167,3.91226e-05,3.91226e-05,3.91226e-05
3,53.3074,1.05975,4.93418,1.82963,0.86613,0.84395,0.93436,0.89775,0.77091,7.12462,1.63194,5.82767e-05,5.82767e-05,5.82767e-05
4,73.2585,1.02003,4.70182,1.84743,0.83708,0.85201,0.93327,0.89241,0.78128,7.05541,1.63609,7.51023e-05,7.51023e-05,7.51023e-05
5,96.1729,1.14196,5.26889,1.86899,0.83182,0.86462,0.93355,0.89197,0.77931,6.90571,1.63958,8.95994e-05,8.95994e-05,8.95994e-05
6,115.722,1.04348,4.88811,1.93397,0.87663,0.90025,0.94558,0.90808,0.7837,6.69596,1.64933,0.000101768,0.000101768,0.000101768
7,131.428,1.0134,4.17624,1.81985,0.91691,0.87971,0.94783,0.89265,0.7915,6.60385,1.65709,0.000111608,0.000111608,0.000111608
8,156.499,1.11297,4.41959,1.87779,0.87181,0.90645,0.94855,0.9192,0.77385,6.58093,1.65483,0.00011912,0.00011912,0.00011912
9,178.314,1.05191,5.17044,1.8263,0.93339,0.86964,0.94673,0.91961,0.75932,6.59665,1.65105,0.000124303,0.000124303,0.000124303
10,195.516,1.12434,3.81588,1.84443,0.9619,0.88529,0.9464,0.91746,0.78053,6.55888,1.66144,0.000127158,0.000127158,0.000127158
11,210.314,1.0298,6.8963,1.78684,0.93243,0.86678,0.94545,0.90358,0.81696,6.54586,1.66616,0.000127684,0.000127684,0.000127684
12,224.727,0.87355,6.5052,1.76901,0.91407,0.87707,0.94831,0.89618,0.89463,6.62021,1.7053,0.000125882,0.000125882,0.000125882
13,239.916,0.83904,6.21272,1.69728,0.98072,0.84897,0.95812,0.9165,0.90833,6.63448,1.69938,0.000121751,0.000121751,0.000121751
14,254.675,0.85639,6.36981,1.72061,0.99235,0.85661,0.95747,0.88972,0.87578,6.56588,1.68148,0.000115292,0.000115292,0.000115292
15,269.306,0.87801,6.20347,1.65838,0.98206,0.89261,0.95829,0.89704,0.82061,6.35622,1.66361,0.000106504,0.000106504,0.000106504
16,282.966,0.82165,6.01437,1.69305,0.98084,0.90141,0.95977,0.9014,0.79806,6.27655,1.65132,9.53883e-05,9.53883e-05,9.53883e-05
17,296.823,0.84714,6.02615,1.651,0.98427,0.91084,0.96153,0.90347,0.78315,6.23279,1.64217,8.19437e-05,8.19437e-05,8.19437e-05
18,310.845,0.88306,6.09924,1.71657,0.98427,0.90771,0.96404,0.9131,0.75118,6.16576,1.62866,6.61706e-05,6.61706e-05,6.61706e-05
19,324.513,0.80275,6.1703,1.7012,0.99159,0.89758,0.96298,0.91236,0.74226,6.14515,1.62449,4.8069e-05,4.8069e-05,4.8069e-05
20,338.072,0.81672,5.96391,1.6987,0.97487,0.86127,0.96087,0.91139,0.73534,6.13493,1.62022,2.76389e-05,2.76389e-05,2.76389e-05
