epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6484,1.03294,3.27742,1.80506,0.94644,0.86938,0.95935,0.91634,0.70429,4.94296,1.60572,2.352e-05,2.352e-05,2.352e-05
2,46.1293,0.89532,3.11448,1.83711,0.90056,0.94089,0.97018,0.92318,0.7333,4.92952,1.60416,5.03005e-05,5.03005e-05,5.03005e-05
3,76.1763,1.00278,3.31719,1.80092,0.89484,0.94763,0.964,0.90682,0.72595,4.93066,1.60118,7.41703e-05,7.41703e-05,7.41703e-05
4,104.635,0.87567,2.93112,1.71871,0.90462,0.85275,0.95065,0.90051,0.71765,4.91887,1.60327,9.51296e-05,9.51296e-05,9.51296e-05
5,135.911,0.92513,2.96462,1.7876,0.94033,0.89715,0.9567,0.90009,0.72826,4.84919,1.60486,0.000113178,0.000113178,0.000113178
6,163.749,1.03988,3.25843,1.87578,0.92748,0.8706,0.95411,0.90292,0.71267,4.85324,1.5957,0.000128316,0.000128316,0.000128316
7,196.868,0.93517,2.94151,1.78398,0.89004,0.9051,0.95478,0.89854,0.70331,4.79946,1.58761,0.000140544,0.000140544,0.000140544
8,228.775,0.99074,3.22801,1.7938,0.82877,0.9276,0.9432,0.88621,0.70185,4.8009,1.58272,0.000149861,0.000149861,0.000149861
9,260.748,0.94777,3.03341,1.75343,0.86132,0.87866,0.93338,0.87034,0.70199,4.86312,1.58785,0.000156267,0.000156267,0.000156267
10,293.902,0.97446,3.06525,1.8374,0.87131,0.85918,0.9437,0.88844,0.69102,4.82428,1.59062,0.000159763,0.000159763,0.000159763
11,324.398,0.81492,4.22783,1.70199,0.91306,0.81389,0.9546,0.90723,0.70214,4.72545,1.57581,0.000160348,0.000160348,0.000160348
12,354.521,0.83157,4.23111,1.64908,0.9387,0.853,0.96914,0.92222,0.7229,4.74036,1.58224,0.000158022,0.000158022,0.000158022
13,381.658,0.77914,4.32773,1.64412,0.92453,0.87467,0.97394,0.92377,0.72975,4.72121,1.59072,0.000152786,0.000152786,0.000152786
14,407.41,0.77557,4.12876,1.6817,0.87661,0.9347,0.97086,0.91769,0.71895,4.60845,1.58828,0.000144639,0.000144639,0.000144639
15,430.823,0.78667,4.19553,1.6965,0.91921,0.90672,0.97145,0.91718,0.70631,4.48383,1.59092,0.000133582,0.000133582,0.000133582
16,456.59,0.79328,4.14453,1.73898,0.91978,0.92095,0.97209,0.92332,0.70945,4.46247,1.58949,0.000119614,0.000119614,0.000119614
17,483.758,0.76978,4.07702,1.70249,0.90909,0.9378,0.97047,0.91798,0.73008,4.47219,1.59362,0.000102735,0.000102735,0.000102735
18,508.549,0.78573,4.09947,1.68714,0.89819,0.90187,0.9656,0.9091,0.73501,4.4918,1.59578,8.29462e-05,8.29462e-05,8.29462e-05
19,532.828,0.82461,4.03407,1.70619,0.87415,0.92309,0.96406,0.90926,0.72789,4.49706,1.59287,6.02465e-05,6.02465e-05,6.02465e-05
20,560.54,0.79259,4.05599,1.69614,0.88974,0.87652,0.9678,0.91667,0.71414,4.48474,1.58873,3.46361e-05,3.46361e-05,3.46361e-05
