epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6572,1.03294,3.27742,1.80506,0.94644,0.86938,0.95935,0.91634,0.70429,4.94296,1.60572,2.352e-05,2.352e-05,2.352e-05
2,52.9608,0.89573,3.11414,1.83703,0.89992,0.94074,0.97032,0.92291,0.73458,4.93189,1.60442,5.18722e-05,5.18722e-05,5.18722e-05
3,70.9253,1.00472,3.3218,1.80082,0.89403,0.93801,0.96249,0.9032,0.73184,4.94162,1.60245,7.90601e-05,7.90601e-05,7.90601e-05
4,90.2296,0.88201,2.93577,1.72003,0.88401,0.86581,0.94812,0.89805,0.72109,4.94106,1.60519,0.000105084,0.000105084,0.000105084
5,108.498,0.93534,2.9653,1.79104,0.92336,0.85672,0.94746,0.89158,0.73654,4.88317,1.60643,0.000129943,0.000129943,0.000129943
6,126.46,1.04966,3.27243,1.8808,0.86109,0.87799,0.94779,0.89842,0.72151,4.89956,1.60322,0.000153639,0.000153639,0.000153639
7,144.909,0.96197,2.95823,1.79258,0.89825,0.88442,0.95134,0.89515,0.71497,4.83454,1.59976,0.00017617,0.00017617,0.00017617
8,163.086,1.018,3.23547,1.79821,0.83317,0.89388,0.93764,0.87173,0.7396,4.86273,1.60026,0.000197536,0.000197536,0.000197536
9,181.511,0.98756,3.06519,1.76549,0.8378,0.87555,0.92899,0.8599,0.73649,4.92681,1.6189,0.000217739,0.000217739,0.000217739
10,199.764,1.0118,3.09593,1.86127,0.88329,0.88532,0.95419,0.88975,0.74657,4.82515,1.60981,0.000236777,0.000236777,0.000236777
11,217.329,1.01166,3.10277,1.81853,0.86492,0.86074,0.95108,0.88089,0.77915,4.7318,1.60966,0.000254651,0.000254651,0.000254651
12,234.537,0.98636,3.04498,1.81399,0.84832,0.90118,0.94278,0.87614,0.78265,4.66362,1.60373,0.000271361,0.000271361,0.000271361
13,251.788,0.97653,2.99628,1.81748,0.89355,0.83848,0.94593,0.87628,0.80944,4.62733,1.61156,0.000286906,0.000286906,0.000286906
14,269.214,0.97494,2.91857,1.81937,0.93406,0.80598,0.93467,0.87361,0.79565,4.62458,1.61568,0.000301288,0.000301288,0.000301288
15,286.259,1.06273,2.9067,1.85233,0.83932,0.90513,0.93688,0.85839,0.84904,4.52848,1.62914,0.000314505,0.000314505,0.000314505
16,303.374,1.10813,3.174,1.83096,0.77244,0.93932,0.92815,0.85059,0.87295,4.53426,1.64214,0.000326558,0.000326558,0.000326558
17,320.504,1.0456,3.07673,1.8075,0.83947,0.73761,0.85025,0.78763,0.8801,4.71361,1.65573,0.000337446,0.000337446,0.000337446
18,403.914,1.11482,3.18048,1.89076,0.85828,0.75031,0.84438,0.78194,0.83913,4.64321,1.64098,0.00034717,0.00034717,0.00034717
19,424.61,0.98551,3.05839,1.84728,0.89368,0.78469,0.90636,0.84277,0.7945,4.4869,1.624,0.000355731,0.000355731,0.000355731
20,442.323,1.10333,3.25172,1.8959,0.85384,0.86771,0.94531,0.87913,0.8099,4.40983,1.62127,0.000363126,0.000363126,0.000363126
21,460.027,1.02037,3.03442,1.84099,0.85222,0.898,0.94508,0.87708,0.80535,4.46625,1.62392,0.000355152,0.000355152,0.000355152
22,478.097,1.06554,2.99386,1.84772,0.80931,0.92984,0.92529,0.85674,0.80974,4.44633,1.62571,0.00034351,0.00034351,0.00034351
23,496.085,0.97378,2.9515,1.82628,0.77939,0.9344,0.92639,0.84954,0.80603,4.43736,1.62169,0.000331867,0.000331867,0.000331867
24,514.356,1.0477,3.25322,1.81624,0.76476,0.90798,0.93263,0.85554,0.80073,4.41767,1.61255,0.000320225,0.000320225,0.000320225
25,532.59,1.04328,3.34365,1.82144,0.81387,0.92885,0.94529,0.86796,0.80928,4.35695,1.61296,0.000308582,0.000308582,0.000308582
26,550.527,0.99801,2.82801,1.81223,0.78151,0.95257,0.94819,0.87589,0.79926,4.30232,1.60974,0.00029694,0.00029694,0.00029694
27,578.345,0.92677,2.84953,1.77085,0.97489,0.81427,0.9525,0.88696,0.77848,4.25964,1.60395,0.000285298,0.000285298,0.000285298
28,606.997,1.11173,2.78067,1.80687,0.89055,0.81111,0.93718,0.86801,0.7935,4.20726,1.61231,0.000273655,0.000273655,0.000273655
29,632.657,1.0182,2.93099,1.81758,0.84533,0.82036,0.93199,0.87474,0.76641,4.14445,1.6018,0.000262013,0.000262013,0.000262013
30,659.121,1.02482,3.13071,1.86645,0.82033,0.8537,0.91997,0.86019,0.74351,4.15136,1.59076,0.00025037,0.00025037,0.00025037
31,686.234,1.07859,2.84155,1.84078,0.81146,0.90496,0.92486,0.8568,0.7452,4.10801,1.5941,0.000238728,0.000238728,0.000238728
32,712.545,1.13439,2.86877,1.86304,0.85395,0.91469,0.91874,0.85502,0.75706,4.07472,1.59988,0.000227086,0.000227086,0.000227086
33,738.446,0.91672,2.88756,1.75771,0.82939,0.9374,0.92149,0.86512,0.75925,4.04685,1.60765,0.000215443,0.000215443,0.000215443
34,764.108,0.9269,2.69279,1.79502,0.83915,0.90633,0.92962,0.87386,0.76421,4.0473,1.61403,0.000203801,0.000203801,0.000203801
35,795.795,1.04495,2.72563,1.78662,0.8285,0.92963,0.93663,0.87575,0.7793,4.00788,1.61434,0.000192158,0.000192158,0.000192158
36,825.377,0.98276,2.78268,1.8071,0.8193,0.90535,0.93571,0.87556,0.75707,3.91556,1.60444,0.000180516,0.000180516,0.000180516
37,855.254,0.97961,2.6283,1.82111,0.91281,0.8143,0.93224,0.87105,0.73509,3.89065,1.59902,0.000168874,0.000168874,0.000168874
38,880.613,0.8575,2.49117,1.75453,0.92383,0.80823,0.93385,0.8815,0.71471,3.87734,1.59275,0.000157231,0.000157231,0.000157231
39,909.705,0.92108,2.59495,1.78269,0.91962,0.80298,0.92705,0.87442,0.70458,3.89307,1.58927,0.000145589,0.000145589,0.000145589
40,936.486,0.91188,2.34682,1.71373,0.85219,0.79589,0.92207,0.86592,0.71865,3.91564,1.58456,0.000133946,0.000133946,0.000133946
41,962.929,0.76171,3.53772,1.65147,0.80491,0.8441,0.91778,0.85985,0.72422,3.92243,1.58435,0.000122304,0.000122304,0.000122304
42,990.411,0.79465,3.49183,1.70915,0.90076,0.78473,0.92447,0.87217,0.70796,3.92553,1.58241,0.000110662,0.000110662,0.000110662
43,1019.82,0.76377,3.48176,1.66779,0.91676,0.79502,0.92877,0.87661,0.70284,3.91601,1.57691,9.90192e-05,9.90192e-05,9.90192e-05
44,1045.02,0.72744,3.42474,1.65585,0.82724,0.81994,0.92633,0.87361,0.6958,3.92459,1.57423,8.73768e-05,8.73768e-05,8.73768e-05
45,1064.7,0.74345,3.49791,1.67433,0.83857,0.82994,0.92742,0.87492,0.67439,3.90055,1.56892,7.57344e-05,7.57344e-05,7.57344e-05
46,1082.96,0.73861,3.49143,1.66052,0.87454,0.81219,0.9289,0.88019,0.64708,3.85828,1.56456,6.4092e-05,6.4092e-05,6.4092e-05
47,1104.62,0.78353,3.4807,1.61464,0.81833,0.88769,0.93232,0.89084,0.63353,3.81786,1.56155,5.24496e-05,5.24496e-05,5.24496e-05
48,1130.59,0.73982,3.3682,1.69039,0.878,0.87563,0.93989,0.89726,0.64142,3.73439,1.56408,4.08072e-05,4.08072e-05,4.08072e-05
49,1151.03,0.7348,3.33614,1.6843,0.87555,0.87942,0.93927,0.89659,0.64207,3.70801,1.56423,2.91648e-05,2.91648e-05,2.91648e-05
50,1175.58,0.71262,3.35997,1.66451,0.87776,0.89364,0.94142,0.90016,0.64212,3.69061,1.56361,1.75224e-05,1.75224e-05,1.75224e-05
