epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9429,2.24029,11.974,2.97,0,0,0,0,1.74565,14.9446,2.71093,2.352e-05,2.352e-05,2.352e-05
2,51.151,1.86062,11.4746,2.45938,0,0,0,0,1.34626,14.3,2.02296,5.23961e-05,5.23961e-05,5.23961e-05
3,86.1876,1.56006,10.7139,2.19897,0.02393,0.24675,0.08441,0.07696,1.02588,13.8112,1.80719,8.06901e-05,8.06901e-05,8.06901e-05
4,104.886,1.51112,10.824,2.07277,0.05593,0.48486,0.15882,0.12344,0.93719,13.6336,1.70351,0.000108402,0.000108402,0.000108402
5,123.823,1.51864,9.61262,2.03746,0.02969,0.84775,0.18307,0.15521,0.93848,13.4876,1.67445,0.000135532,0.000135532,0.000135532
6,142.117,1.30035,9.23493,1.89258,0.02259,1,0.21887,0.19289,1.03797,13.3817,1.70038,0.000162079,0.000162079,0.000162079
7,160.506,1.51159,8.84002,2.04751,0.01994,1,0.31969,0.27736,1.02395,13.1431,1.7022,0.000188045,0.000188045,0.000188045
8,179.438,1.41223,8.51863,2.04739,0.02036,1,0.29575,0.24396,1.08476,13.0558,1.71055,0.000213428,0.000213428,0.000213428
9,208.294,1.45794,8.33353,2.09035,0.02064,1,0.19881,0.1734,1.07852,12.6978,1.69771,0.000238229,0.000238229,0.000238229
10,244.817,1.5604,7.48969,2.12868,0.01775,0.98889,0.25856,0.22488,1.11902,12.4852,1.71794,0.000262449,0.000262449,0.000262449
11,281.571,1.52872,7.23219,2.02868,0.01578,0.97778,0.29776,0.25389,1.09162,12.3303,1.73085,0.000286086,0.000286086,0.000286086
12,314.698,1.43611,8.18485,2.03047,0.01551,0.98889,0.27091,0.23584,1.08526,12.3276,1.75096,0.00030914,0.00030914,0.00030914
13,337.102,1.45331,7.24416,1.99395,0.01438,0.98889,0.30407,0.26403,1.05832,12.0624,1.74409,0.000331613,0.000331613,0.000331613
14,356.478,1.33728,6.26289,1.95118,0.96502,0.11082,0.3891,0.33119,1.10989,11.1189,1.76974,0.000353504,0.000353504,0.000353504
15,374.862,1.39555,6.42377,2.05485,0.87651,0.19126,0.4849,0.42247,1.07433,10.4454,1.77507,0.000374812,0.000374812,0.000374812
16,397.399,1.45608,5.93051,2.01872,0.91637,0.24425,0.5628,0.4991,1.04022,10.2673,1.72324,0.000395539,0.000395539,0.000395539
17,423.24,1.40589,5.6209,1.98839,0.91305,0.18863,0.60032,0.53222,1.06311,10.485,1.73385,0.000415683,0.000415683,0.000415683
18,451.383,1.45098,5.82608,2.08462,0.90373,0.20628,0.57314,0.50754,1.05646,10.4851,1.7575,0.000435245,0.000435245,0.000435245
19,482.949,1.27681,5.9066,1.92067,0.88415,0.28388,0.55926,0.495,1.04233,10.4585,1.7914,0.000454225,0.000454225,0.000454225
20,512.286,1.3787,5.98753,2.01277,0.75246,0.43708,0.61571,0.52628,1.21573,10.0278,1.84546,0.000472623,0.000472623,0.000472623
21,531.572,1.55385,6.21904,2.14801,0.7075,0.51207,0.61411,0.52882,1.17431,9.53317,1.80514,0.000471576,0.000471576,0.000471576
22,549.421,1.34996,5.89418,1.98593,0.7957,0.44255,0.60643,0.53445,1.04259,9.17308,1.7385,0.000465755,0.000465755,0.000465755
23,567.785,1.44387,4.9621,2.02573,0.7756,0.4682,0.62621,0.55167,1.06689,8.97615,1.72757,0.000459934,0.000459934,0.000459934
24,585.592,1.28759,5.30178,1.94097,0.6499,0.62908,0.74436,0.6552,1.12719,8.50403,1.75447,0.000454112,0.000454112,0.000454112
25,606.998,1.36556,5.06421,1.99022,0.73665,0.63011,0.77171,0.6811,1.15039,8.4549,1.76345,0.000448291,0.000448291,0.000448291
26,632.327,1.3313,4.78556,1.99805,0.76192,0.53684,0.74285,0.65433,1.12887,8.43364,1.75919,0.00044247,0.00044247,0.00044247
27,650.864,1.29389,4.29656,1.8881,0.82541,0.55627,0.75825,0.67435,1.08854,8.36321,1.74954,0.000436649,0.000436649,0.000436649
28,670.05,1.32329,4.64869,1.94631,0.61059,0.64011,0.72423,0.64258,1.05516,7.98503,1.73105,0.000430828,0.000430828,0.000430828
29,688.857,1.33652,4.65255,2.0184,0.67268,0.60699,0.70033,0.62488,1.04308,7.75553,1.72871,0.000425006,0.000425006,0.000425006
30,706.282,1.25562,4.53345,1.90204,0.53237,0.65323,0.71135,0.64419,0.97726,7.5537,1.69721,0.000419185,0.000419185,0.000419185
