epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,723.867,1.23486,4.61874,1.94972,0.5423,0.62362,0.73601,0.66511,0.98116,7.41718,1.69158,0.000413364,0.000413364,0.000413364
32,742.551,1.48533,4.6965,1.9783,0.67259,0.70286,0.78528,0.71309,0.95832,7.27516,1.68586,0.000407543,0.000407543,0.000407543
33,766.283,1.22999,4.72204,1.9659,0.7426,0.69256,0.82397,0.73946,0.97033,7.28048,1.68649,0.000401722,0.000401722,0.000401722
34,785.32,1.36953,4.62994,1.99369,0.75193,0.72862,0.88562,0.78986,0.97539,7.28337,1.69016,0.0003959,0.0003959,0.0003959
35,804.997,1.28886,4.84289,2.01466,0.73626,0.73714,0.89753,0.79884,0.93332,7.30682,1.67308,0.000390079,0.000390079,0.000390079
36,823.189,1.19584,4.43065,1.85875,0.76804,0.73797,0.88665,0.79935,0.92212,6.93711,1.68649,0.000384258,0.000384258,0.000384258
37,840.701,1.2822,4.69259,1.91147,0.77103,0.73954,0.85502,0.76559,0.94557,6.80936,1.69702,0.000378437,0.000378437,0.000378437
38,858.317,1.32524,4.44884,1.95898,0.7658,0.73991,0.85592,0.76361,0.95781,6.80894,1.6993,0.000372616,0.000372616,0.000372616
39,875.266,1.16054,4.41872,1.91841,0.78695,0.7558,0.85587,0.77266,0.93661,6.72364,1.6965,0.000366794,0.000366794,0.000366794
40,892.514,1.22914,4.54538,1.90096,0.68048,0.74656,0.82942,0.76042,0.86662,6.63393,1.65414,0.000360973,0.000360973,0.000360973
41,909.618,1.12553,3.93392,1.86249,0.6442,0.83231,0.81572,0.74768,0.89937,6.57128,1.66393,0.000355152,0.000355152,0.000355152
42,926.843,1.21683,4.06974,1.85675,0.68678,0.75109,0.8185,0.74481,0.93032,6.46543,1.68117,0.000349331,0.000349331,0.000349331
43,943.902,1.228,4.07974,1.93614,0.66702,0.79975,0.80609,0.73249,0.90845,6.36191,1.68024,0.00034351,0.00034351,0.00034351
44,961.298,1.12905,4.21324,1.83564,0.75879,0.75946,0.83384,0.75106,0.90923,6.20825,1.65809,0.000337688,0.000337688,0.000337688
45,978.537,1.24316,4.0952,1.93219,0.74561,0.89571,0.86461,0.77856,0.91248,6.17292,1.65674,0.000331867,0.000331867,0.000331867
46,995.895,1.09192,3.689,1.82062,0.72532,0.83679,0.88373,0.80072,0.89071,6.1613,1.63888,0.000326046,0.000326046,0.000326046
47,1013.04,1.21938,3.97799,1.87701,0.81637,0.79631,0.88509,0.80836,0.86072,6.12988,1.62804,0.000320225,0.000320225,0.000320225
48,1030.29,1.19157,3.79311,1.88641,0.8341,0.82472,0.87271,0.79825,0.84659,5.96793,1.65156,0.000314404,0.000314404,0.000314404
49,1047.5,1.19433,3.9288,1.86699,0.75018,0.8987,0.85856,0.78411,0.87213,5.90677,1.66769,0.000308582,0.000308582,0.000308582
50,1065.06,1.2173,3.91095,1.87918,0.66848,0.90825,0.84194,0.76177,0.86907,5.86562,1.66598,0.000302761,0.000302761,0.000302761
51,1091.91,1.27295,4.22976,1.9838,0.73299,0.7256,0.81731,0.7438,0.8537,5.82807,1.65286,0.00029694,0.00029694,0.00029694
52,1119.77,1.12309,3.72614,1.85198,0.76849,0.73824,0.83247,0.76489,0.83926,5.80018,1.63296,0.000291119,0.000291119,0.000291119
53,1138.44,1.18442,3.74711,1.86218,0.7925,0.70074,0.83942,0.76818,0.80255,5.80524,1.62241,0.000285298,0.000285298,0.000285298
54,1156.68,1.15015,3.83747,1.85883,0.78972,0.73385,0.85384,0.78574,0.779,5.79618,1.61506,0.000279476,0.000279476,0.000279476
55,1174.12,1.10711,3.63914,1.89081,0.80068,0.75396,0.86921,0.8033,0.79633,5.79585,1.61853,0.000273655,0.000273655,0.000273655
56,1191.37,1.09157,3.82866,1.87693,0.79321,0.75846,0.8797,0.81501,0.80298,5.63415,1.63679,0.000267834,0.000267834,0.000267834
57,1208.25,1.0277,3.71407,1.82693,0.85697,0.71082,0.89683,0.82939,0.7864,5.52498,1.6249,0.000262013,0.000262013,0.000262013
58,1225.37,1.07134,3.59646,1.8572,0.93539,0.66672,0.89233,0.81895,0.77657,5.49906,1.6184,0.000256192,0.000256192,0.000256192
59,1242.19,1.03897,3.76393,1.82426,0.71985,0.88603,0.89111,0.8159,0.79489,5.49942,1.62525,0.00025037,0.00025037,0.00025037
60,1259.27,1.08041,3.9241,1.85347,0.70606,0.85776,0.86723,0.80158,0.81531,5.575,1.62011,0.000244549,0.000244549,0.000244549
61,1276.54,1.07298,3.57596,1.84002,0.74522,0.81442,0.9008,0.83948,0.80747,5.51696,1.61856,0.000238728,0.000238728,0.000238728
62,1293.67,1.11198,3.94703,1.91278,0.79125,0.83389,0.91585,0.8516,0.79093,5.43331,1.61522,0.000232907,0.000232907,0.000232907
63,1310.67,1.12331,3.5367,1.91815,0.85472,0.8131,0.90784,0.83756,0.78068,5.3706,1.61918,0.000227086,0.000227086,0.000227086
64,1328.12,1.026,3.68682,1.84417,0.88707,0.81016,0.91573,0.83791,0.81175,5.33732,1.63743,0.000221264,0.000221264,0.000221264
65,1353.72,1.10977,3.71173,1.82504,0.86546,0.82933,0.92275,0.84409,0.7981,5.3383,1.6286,0.000215443,0.000215443,0.000215443
66,1376.47,1.04244,3.60651,1.85712,0.85748,0.83408,0.9339,0.85907,0.79033,5.33148,1.61754,0.000209622,0.000209622,0.000209622
67,1394.59,1.08181,3.26247,1.81932,0.86252,0.83921,0.93995,0.86809,0.78626,5.30277,1.61222,0.000203801,0.000203801,0.000203801
68,1412.13,1.02257,2.98506,1.76038,0.89995,0.8676,0.95972,0.89,0.73801,5.2048,1.58778,0.00019798,0.00019798,0.00019798
69,1429.25,0.99852,3.74851,1.82445,0.97359,0.88228,0.95636,0.89177,0.72067,5.13015,1.58391,0.000192158,0.000192158,0.000192158
70,1446.31,0.95848,3.244,1.81365,0.97065,0.84374,0.95553,0.89405,0.71352,5.06835,1.58084,0.000186337,0.000186337,0.000186337
71,1463.87,1.0114,3.1392,1.77142,0.88145,0.89855,0.95642,0.89371,0.7073,5.04645,1.5792,0.000180516,0.000180516,0.000180516
72,1480.96,1.00376,3.68535,1.81341,0.87575,0.91103,0.95235,0.89808,0.71976,5.04971,1.58744,0.000174695,0.000174695,0.000174695
73,1498.92,0.9783,3.27913,1.79985,0.8877,0.89857,0.96148,0.9083,0.73678,5.03031,1.59303,0.000168874,0.000168874,0.000168874
74,1517.04,0.99512,3.40447,1.83345,0.89899,0.90885,0.96747,0.91047,0.73484,5.00469,1.59257,0.000163052,0.000163052,0.000163052
75,1534.49,1.01119,3.39153,1.85321,0.95307,0.92635,0.97054,0.92241,0.71981,4.97502,1.58681,0.000157231,0.000157231,0.000157231
76,1551.75,0.97921,3.23586,1.78779,0.96763,0.92768,0.97567,0.92426,0.72419,4.91162,1.58964,0.00015141,0.00015141,0.00015141
77,1569.03,0.97299,3.44046,1.82407,0.95626,0.92668,0.97714,0.93165,0.72599,4.89743,1.58869,0.000145589,0.000145589,0.000145589
78,1586.66,0.89898,3.24752,1.75119,0.97253,0.92992,0.97687,0.93538,0.72337,4.89406,1.58638,0.000139768,0.000139768,0.000139768
79,1603.99,0.96863,3.24115,1.76161,0.98083,0.93636,0.97686,0.93662,0.71784,4.89503,1.58415,0.000133946,0.000133946,0.000133946
80,1621.34,0.99168,3.01953,1.84306,0.94666,0.92908,0.97627,0.9301,0.7051,4.89075,1.58212,0.000128125,0.000128125,0.000128125
81,1638.22,0.94289,3.17655,1.80003,0.95895,0.92019,0.97712,0.93181,0.69216,4.86779,1.57956,0.000122304,0.000122304,0.000122304
82,1655.3,0.9599,2.95046,1.80346,0.96896,0.89956,0.97876,0.93685,0.67768,4.84627,1.57792,0.000116483,0.000116483,0.000116483
83,1672.31,0.90842,3.08363,1.77732,0.97303,0.88976,0.97804,0.93909,0.67726,4.83354,1.57952,0.000110662,0.000110662,0.000110662
84,1689.31,0.94345,3.6418,1.85622,0.96195,0.8955,0.97807,0.93694,0.69238,4.79944,1.58161,0.00010484,0.00010484,0.00010484
85,1706.68,0.92699,3.28615,1.81921,0.95918,0.89067,0.97644,0.93094,0.6879,4.79478,1.57835,9.90192e-05,9.90192e-05,9.90192e-05
86,1723.84,0.97289,3.30979,1.82056,0.98016,0.86416,0.97742,0.93413,0.67875,4.78591,1.57378,9.3198e-05,9.3198e-05,9.3198e-05
87,1740.96,0.92239,2.95431,1.7494,0.94095,0.90346,0.977,0.93403,0.67063,4.78076,1.56995,8.73768e-05,8.73768e-05,8.73768e-05
88,1758.19,0.88389,2.96743,1.74894,0.9346,0.91883,0.97571,0.92754,0.66122,4.77402,1.56746,8.15556e-05,8.15556e-05,8.15556e-05
89,1775.3,0.91239,3.12484,1.77457,0.93751,0.90207,0.97585,0.93404,0.65374,4.76935,1.5663,7.57344e-05,7.57344e-05,7.57344e-05
90,1792.51,0.88083,3.38623,1.80577,0.94865,0.87057,0.9752,0.93464,0.65061,4.76118,1.5662,6.99132e-05,6.99132e-05,6.99132e-05
91,1809.58,0.82224,4.37854,1.70672,0.93895,0.89171,0.97237,0.93259,0.6423,4.75434,1.56441,6.4092e-05,6.4092e-05,6.4092e-05
92,1826.8,0.79855,4.41345,1.74946,0.91191,0.91186,0.97086,0.92953,0.63419,4.74122,1.5619,5.82708e-05,5.82708e-05,5.82708e-05
93,1844.02,0.76387,4.35215,1.66162,0.9138,0.90408,0.96986,0.92733,0.64022,4.74885,1.56311,5.24496e-05,5.24496e-05,5.24496e-05
94,1861.46,0.76007,4.28543,1.64709,0.90582,0.89976,0.9695,0.92282,0.64524,4.75978,1.564,4.66284e-05,4.66284e-05,4.66284e-05
95,1879.58,0.77333,4.24849,1.66402,0.89549,0.90293,0.96878,0.92355,0.6441,4.77333,1.55913,4.08072e-05,4.08072e-05,4.08072e-05
96,1898.11,0.73103,4.28923,1.67628,0.90801,0.89235,0.96347,0.91577,0.63254,4.77387,1.55724,3.4986e-05,3.4986e-05,3.4986e-05
97,1915.44,0.75351,4.30597,1.70888,0.91379,0.89192,0.95874,0.91401,0.62784,4.7594,1.55684,2.91648e-05,2.91648e-05,2.91648e-05
98,1932.95,0.71974,4.28285,1.70203,0.91959,0.90303,0.95959,0.91541,0.62515,4.74493,1.55679,2.33436e-05,2.33436e-05,2.33436e-05
99,1961.18,0.71198,4.26077,1.66157,0.91706,0.90303,0.9594,0.91489,0.62366,4.72593,1.55657,1.75224e-05,1.75224e-05,1.75224e-05
100,1988.73,0.74169,4.41085,1.72854,0.91456,0.90055,0.96182,0.91752,0.6214,4.69132,1.55622,1.17012e-05,1.17012e-05,1.17012e-05
